Year,Annual_Mean_Temp,Temp_Anomaly,City
2011,26.37024657618493,-0.3445831145278184,Kolkata
2012,26.847322424963114,0.13249273425036634,Kolkata
2013,26.492136940876712,-0.22269274983603538,Kolkata
2014,26.8203252009863,0.10549551027355264,Kolkata
2015,26.95252725138356,0.2376975606708136,Kolkata
2016,27.178227605778687,0.46339791506593997,Kolkata
2017,26.966420943041097,0.25159125232834967,Kolkata
2018,26.57966097869178,-0.1351687120209668,Kolkata
2019,26.732293346312154,0.01746365559940699,Kolkata
2020,26.496317455519126,-0.2185122351936215,Kolkata
2021,27.46057692307692,0.7457472323641738,Kolkata
2022,27.333653846153847,0.6188241554411,Kolkata
2023,28.318562874251494,1.603733183538747,Kolkata
2024,30.214347826086957,3.4995181353742097,Kolkata
1951,26.306945180027398,-0.14423290250932652,Mumbai
1952,26.23553279453552,-0.21564528800120542,Mumbai
1953,26.338904150986302,-0.11227393155042265,Mumbai
1954,25.834232858054794,-0.6169452244819311,Mumbai
1955,26.047780788068494,-0.40339729446823114,Mumbai
1956,25.790888025505463,-0.6602900570312613,Mumbai
1957,26.173657536257537,-0.2775205462791881,Mumbai
1958,26.518643854657537,0.06746577212081206,Mumbai
1959,26.368493184739727,-0.08268489779699806,Mumbai
1960,26.34147540217213,-0.1097026803645953,Mumbai
1961,26.018383593265753,-0.43279448927097164,Mumbai
1962,26.136109623942463,-0.31506845859426136,Mumbai
1963,26.389068459780823,-0.062109622755901484,Mumbai
1964,25.950710329207652,-0.5004677533290725,Mumbai
1965,26.34513697680822,-0.10604110572850445,Mumbai
1966,26.524452091958903,0.07327400942217821,Mumbai
1967,26.197657543342466,-0.253520539194259,Mumbai
1968,25.770710396657105,-0.6804676858796199,Mumbai
1969,26.37480820160274,-0.076369880933985,Mumbai
1970,25.749410976945207,-0.701767105591518,Mumbai
1971,25.58119179338356,-0.8699862891531644,Mumbai
1972,26.236120171625682,-0.21505791091104243,Mumbai
1973,26.041123280397258,-0.41005480213946655,Mumbai
1974,25.91373972691096,-0.5374383556257634,Mumbai
1975,25.54915069052877,-0.9020273920079553,Mumbai
1976,26.151161218565576,-0.30001686397114824,Mumbai
1977,26.548602678821915,0.09742459628519029,Mumbai
1978,25.992424620068494,-0.45875346246823057,Mumbai
1979,26.313657529383562,-0.1375205531531627,Mumbai
1980,26.28801909430328,-0.16315898823344455,Mumbai
1981,26.157794556657535,-0.2933835258791895,Mumbai
1982,26.416739709616436,-0.034438372920288174,Mumbai
1983,25.811561631342467,-0.6396164511942573,Mumbai
1984,26.162390721926233,-0.2887873606104918,Mumbai
1985,26.250986285945203,-0.20019179659152186,Mumbai
1986,26.469315067753424,0.018136985216699486,Mumbai
1987,26.883164437164385,0.4319863546276608,Mumbai
1988,26.466284189180328,0.015106106643603567,Mumbai
1989,26.09935616510959,-0.3518219174271344,Mumbai
1990,26.032753414000002,-0.4184246685367228,Mumbai
